Title,URL,Publisher,Publication Place,Province
Terrace Standard,https://www.terracestandard.com/,Black Press Group Ltd.,Terrace,BC
Trenton Trentonian,https://www.trentonian.ca/,Postmedia Network Inc.,Trenton,ON
Tribune,https://www.wellandtribune.ca/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Welland,ON
The Tribune,https://tj.news/category/the-tribune-campbellton/,Postmedia Network Inc.,Campbellton,NB
Uxbridge Times - Journal,https://www.thenewuxbridgetimes.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Uxbridge,ON
Tofino-Ucluelet Westerly News,https://www.westerlynews.ca/,Black Press Group Ltd.,Ucluelet,BC
The Vancouver Sun,https://vancouversun.com/,Postmedia Network Inc.,Vancouver,BC
Vaughan Citizen,https://www.yorkregion.com/ontario-communities/vaughan/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Vaughan,ON
Trail Times,https://www.trailtimes.ca,Black Press Group Ltd.,Trail,BC
Vulcan Advocate,https://www.vulcanadvocate.com/,Postmedia Network Inc.,Vulcan,AB
Wainwright Star Edge,http://starnews.ca/,Postmedia Network Inc.,Wainwright,AB
The Wasaga Sun,https://www.simcoe.com/ontario-communities/wasaga/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Wasaga,ON
Waterloo Region Record,https://www.therecord.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Kitchener,ON
The Weekly Anchor,https://www.weeklyanchor.com/,Postmedia Network Inc.,Edson,AB
The Weekly Review,https://weeklyreview.ca/,Postmedia Network Inc.,Viking,AB
West Elgin Chronicle,https://www.thechronicle-online.com/,Postmedia Network Inc.,West Lorne,ON
Vancouver Island Free Daily,https://www.vancouverislandfreedaily.com/,Black Press Group Ltd.,Parksville,BC
Wetaskiwin Times Advertiser,https://www.wetaskiwintimes.com/,Postmedia Network Inc.,Wetaskiwin,AB
Whitecourt Star,https://www.whitecourtstar.com/,Postmedia Network Inc.,Whitecourt,AB
Wiarton Echo,https://www.wiartonecho.com/,Postmedia Network Inc.,Wiarton,ON
The Windsor Star,https://windsorstar.com/,Postmedia Network Inc.,Windsor,ON
Winnipeg Free Press,https://www.winnipegfreepress.com/,FP Canadian Newspapers Limited Partnership,Winnipeg,MB
The Winnipeg Sun,https://winnipegsun.com/,Postmedia Network Inc.,Winnipeg,MB
YorkRegion.com,https://www.yorkregion.com/,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,ON
Victoria News,https://www.vicnews.com/,Black Press Group Ltd.,Victoria,BC
Yellowknifer,https://www.nnsl.com/yellowknifer/,Black Press Group Ltd.,Yellowknife,NT
West Kootenay Advertiser,https://www.castlegarnews.com/e-editions,Black Press Group Ltd.,Cranbrook,BC
The Williams Lake Tribune,https://www.wltribune.com/,Black Press Group Ltd.,Williams Lake,BC
Yukon News,https://www.yukon-news.com/,Black Press Group Ltd.,Whitehorse,YK
Columbia Valley Pioneer,columbiavalleypioneer.com,Black Press Group Ltd.,Invermere,BC
Nakusp Arrow Lakes News,arrowlakesnews.com,Black Press Group Ltd.,Nakusp,BC
Rocky Mountain Goat,therockymountaingoat.com,Black Press Group Ltd.,Valemount,BC
Sicamous Eagle Valley News,eaglevalleynews.com,Black Press Group Ltd.,Sicamous,BC
Global News,https://globalnews.ca/,Corus Entertainment,National,National
CBC,https://cbc.ca/,Canadian Broadcasting Corporation,National,National
CTV,https://ctvnews.ca/,Bell Media,National,National
The Morrisburg Leader,https://www.morrisburgleader.ca/,The Morrisburg Leader Ltd.,Morrisburg,ON
APTN News,https://www.aptnnews.ca/,Aboriginal Peoples Television Network Inc.,National,National
Pique Newsmagazine,piquenewsmagazine.com,Glacier Media,Whistler,BC
PNI Atlantic News,https://www.saltwire.com/,Postmedia Network,,
Sudbury Northern Life,https://northernlife.ca/,Village Media,Sudbury,ON
Windspeaker,windspeaker.com,Aboriginal Multi-Media Society of Alberta (AMMSA),Edmonton,AB
CityNews,citynews.ca,Rogers Sports & Media,Toronto,National
CKLB-FM,https://cklbradio.com/,Native Communications Society of the Northwest Territories,Yellowknife,NT
INsauga,https://www.insauga.com/,INSAUGA Inc.,Mississauga,ON
NB Media Co-op,https://nbmediacoop.org/,The Media Co-op,Fredericton,NB
Nunatsiaq News,https://nunatsiaq.com/,Nortext Publishing Corp,Iqaluit,NU
Aurora Banner,aurorabanner.com,Metroland Media Group,Aurora,ON
Burnaby Now,burnabynow.com,Glacier Media,Burnaby,BC
Halifax Examiner,halifaxexaminer.ca,"Halifax Examiner, Inc./Tim Bousquet",Halifax,NS
Le Journal de Montréal,journaldemontreal.com,Quebecor Média,Montréal,QC
Midland Mirror,https://www.simcoe.com/ontario-communities/midland/,Metroland Media Group,Midland,ON
TimminsToday,timminstoday.com,Village Media,Timmins,ON
SaskToday,sasktoday.ca,Harvard Media,Saskatchewan-wide,SK
