Title,Edition,Publisher,Publication Place,Publication Country,"Full Text
(combined)
First","Full Text
(combined)
Last","Full Text
(combined)
Gaps","Scholarly / Peer-
Reviewed","Full Text
First","Full Text
Last","Full Text
Gaps","Full
Text - PDF
First","Full
Text - PDF
Last","Full
Text - PDF
Gaps",Embargo Days,"Cit/Abs
(combined)
First","Cit/Abs
(combined)
Last","Cit/Abs
(combined)
Gaps","Other
Formats First","Other
Formats Last","Other
Formats Gaps","Peer-
Reviewed",Pub Type,Pub Language,Notes and Changes
Cochrane Times (Online),,Postmedia Network Inc.,Cochrane,Canada,14-May-2015,Current,15-Apr-2021--22-Mar-2022,N,14-May-2015,Current,15-Apr-2021--22-Mar-2022,,,,1,14-May-2015,Current,15-Apr-2021--22-Mar-2022,,,,N,Newspapers,English,
Cochrane Times-Post,,Postmedia Network Inc.,Cochrane,Canada,23-Apr-2015,Current,,N,23-Apr-2015,Current,,,,,1,23-Apr-2015,Current,,,,,N,Newspapers,English,
Cochrane Times-Post (Online),,Postmedia Network Inc.,Cochrane,Canada,14-May-2015,Current,16-Apr-2021--22-Mar-2022,N,14-May-2015,Current,16-Apr-2021--22-Mar-2022,,,,1,14-May-2015,Current,16-Apr-2021--22-Mar-2022,,,,N,Newspapers,English,
Colborne Chronicle,,Postmedia Network Inc.,"Colborne, Ont.",Canada,23-Mar-2000,25-May-2006,,N,23-Mar-2000,25-May-2006,,,,,,23-Mar-2000,25-May-2006,,,,,N,Newspapers,English,
Cold Lake Sun,,Postmedia Network Inc.,Cold Lake,Canada,17-May-2011,21-Feb-2023,,N,17-May-2011,21-Feb-2023,,,,,,17-May-2011,21-Feb-2023,,,,,N,Newspapers,English,
Cold Lake Sun (Online),,Postmedia Network Inc.,Cold Lake,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 01-Jan-2024--31-Dec-2024; 18-Apr-2021--13-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 01-Jan-2024--31-Dec-2024; 18-Apr-2021--13-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 01-Jan-2024--31-Dec-2024; 18-Apr-2021--13-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Collingwood Connection,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Collingwood, Ont.",Canada,18-Feb-2003,Current,,N,18-Feb-2003,Current,,,,,,18-Feb-2003,Current,,,,,N,Newspapers,English,
Commerce News,,Edmonton Chamber of Commerce,Edmonton,Canada,01-Mar-1992,01-Nov-1996,,N,01-Mar-1992,01-Nov-1996,,,,,,01-Mar-1992,01-Nov-1996,,,,,N,Trade Journals,English,
Community Press,,Postmedia Network Inc.,Stirling,Canada,30-Apr-2015,Current,,N,30-Apr-2015,Current,,,,,1,30-Apr-2015,Current,,,,,N,Newspapers,English,
The Community Press,,Postmedia Network Inc.,"Sedgewick, Alta.",Canada,07-Apr-2009,Current,,N,07-Apr-2009,Current,,,,,1,07-Apr-2009,Current,,,,,N,Newspapers,English,
Comox Valley Record (Online),,Black Press Group Ltd.,Courtenay,Canada,22-Dec-2022,Current,,N,22-Dec-2022,Current,,,,,,22-Dec-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Connect,,Alberta Weekly Newspapers Association,Fort McMurray,Canada,21-Jun-2013,23-Jun-2016,,N,21-Jun-2013,23-Jun-2016,,,,,,21-Jun-2013,23-Jun-2016,,,,,N,Newspapers,English,
Consort Enterprise,,Postmedia Network Inc.,"Consort, Alta.",Canada,01-Apr-2009,Current,,N,01-Apr-2009,Current,,,,,1,01-Apr-2009,Current,,,,,N,Newspapers,English,
Countdown,,"CTV Television, Inc.",Scarborough,Canada,26-Sep-2005,19-Dec-2008,,N,26-Sep-2005,19-Dec-2008,,,,,,26-Sep-2005,19-Dec-2008,,,,,N,Reports,English,
Courier - Islander,,Postmedia Network Inc.,"Campbell River, B.C.",Canada,01-Feb-2000,27-Mar-2015,,N,01-Feb-2000,27-Mar-2015,,,,,,01-Feb-2000,27-Mar-2015,,,,,N,Newspapers,English,
The Courier Press (Online),,Postmedia Network Inc.,Wallaceburg,Canada,15-May-2015,Current,16-Apr-2021--20-Mar-2022,N,15-May-2015,Current,16-Apr-2021--20-Mar-2022,,,,1,15-May-2015,Current,16-Apr-2021--20-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Courier Press,,Postmedia Network Inc.,Wallaceburg,Canada,22-Apr-2010,Current,01-Jan-2016--31-Dec-2017,N,22-Apr-2010,Current,01-Jan-2016--31-Dec-2017,,,,1,22-Apr-2010,Current,01-Jan-2016--31-Dec-2017,,,,N,Newspapers,English,
The Courtenay Comox Valley Record,,Black Press Group Ltd.,"Courtenay, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Cowichan News Leader,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Duncan, B.C.",Canada,04-Aug-2004,09-Sep-2008,,N,04-Aug-2004,09-Sep-2008,,,,,,04-Aug-2004,09-Sep-2008,,,,,N,Newspapers,English,
Cowichan News Leader Pictorial,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Duncan, B.C.",Canada,10-Sep-2008,18-Mar-2015,,N,10-Sep-2008,18-Mar-2015,,,,,,10-Sep-2008,18-Mar-2015,,,,,N,Newspapers,English,
Cowichan Valley Citizen,,Black Press Group Ltd.,"Duncan, B.C.",Canada,23-Jan-2000,18-Sep-2015,,N,23-Jan-2000,18-Sep-2015,,,,,,23-Jan-2000,18-Sep-2015,,,,,N,Newspapers,English,
Cowichan Valley Citizen (Online),,Black Press Group Ltd.,Duncan,Canada,07-Apr-2021,Current,,N,07-Apr-2021,Current,,,,,,07-Apr-2021,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Cranbrook Townsman (Online),,Black Press Group Ltd.,Cranbrook,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Creston Valley Advance (Online),,Black Press Group Ltd.,Creston,Canada,17-Mar-2023,Current,,N,17-Mar-2023,Current,,,,,,17-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Crowsnest Pass Herald,,Postmedia Network Inc.,"Blairmore, Alta.",Canada,23-Jun-2009,Current,,N,23-Jun-2009,Current,,,,,1,23-Jun-2009,Current,,,,,N,Newspapers,English,
The Current,,Canadian Broadcasting Corporation,Toronto,Canada,01-Feb-2016,Current,,N,01-Feb-2016,Current,,,,,,01-Feb-2016,Current,,,,,N,Other Sources,English,
Daily Bulletin,,Postmedia Network Inc.,"Kimberley, B.C.",Canada,01-Sep-1999,02-Feb-2018,,N,01-Sep-1999,02-Feb-2018,,,,,,01-Sep-1999,02-Feb-2018,,,,,N,Newspapers,English,
Daily Gleaner,,Postmedia Network Inc.,"Fredericton, N.B.",Canada,02-Jan-1998,Current,,N,02-Jan-1998,Current,,,,,1,02-Jan-1998,Current,,,,,N,Newspapers,English,
The Daily Graphic (Online),,Postmedia Network Inc.,Portage La Prarie,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--28-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--28-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--28-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Daily Graphic,,Postmedia Network Inc.,Portage La Prarie,Canada,28-Apr-2007,Current,,N,28-Apr-2007,Current,,,,,1,28-Apr-2007,Current,,,,,N,Newspapers,English,
The Daily Herald-Tribune (Online),,Postmedia Network Inc.,Grand Prairie,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 02-Sep-2021--31-Dec-2021,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 02-Sep-2021--31-Dec-2021,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 02-Sep-2021--31-Dec-2021,,,,N,"Blogs, Podcasts, & Websites",English,
The Daily Herald-Tribune,,Postmedia Network Inc.,Grande Prairie,Canada,24-Apr-2007,30-Apr-2021,,N,24-Apr-2007,30-Apr-2021,,,,,,24-Apr-2007,30-Apr-2021,,,,,N,Newspapers,English,
Daily Miner and News,,Postmedia Network Inc.,Kenora,Canada,27-Apr-2007,Current,,N,27-Apr-2007,Current,,,,,1,27-Apr-2007,Current,,,,,N,Newspapers,English,
Daily News,,Postmedia Network Inc.,"Halifax, N.S.",Canada,,,,N,,,,,,,,22-Oct-1990,27-Apr-2007,,,,,N,Newspapers,English,
Daily News,,Postmedia Network Inc.,"Truro, N.S.",Canada,,,,N,,,,,,,,03-May-1999,27-Apr-2007,,,,,N,Newspapers,English,
Daily News,,Postmedia Network Inc.,"Prince Rupert, B.C.",Canada,12-Oct-1999,16-Jul-2010,,N,12-Oct-1999,16-Jul-2010,,,,,,12-Oct-1999,16-Jul-2010,,,,,N,Newspapers,English,
Daily Press,,Postmedia Network Inc.,"Timmins, Ont.",Canada,04-May-1999,Current,,N,04-May-1999,Current,,,,,1,04-May-1999,Current,,,,,N,Newspapers,English,
The Daily Press (Online),,Postmedia Network Inc.,Timmins,Canada,15-May-2015,Current,18-Apr-2021--28-Mar-2022,N,15-May-2015,Current,18-Apr-2021--28-Mar-2022,,,,1,15-May-2015,Current,18-Apr-2021--28-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Daily Sentinel Review (Online),,Postmedia Network Inc.,Woodstock,Canada,15-May-2015,Current,24-Sep-2021--27-Mar-2022,N,15-May-2015,Current,24-Sep-2021--27-Mar-2022,,,,1,15-May-2015,Current,24-Sep-2021--27-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Daily Sentinel Review,,Postmedia Network Inc.,Woodstock,Canada,30-Apr-2007,Current,,N,30-Apr-2007,Current,,,,,1,30-Apr-2007,Current,,,,,N,Newspapers,English,
Daily Townsman,,Postmedia Network Inc.,"Cranbrook, B.C.",Canada,01-Sep-1999,04-Feb-2018,,N,01-Sep-1999,04-Feb-2018,,,,,,01-Sep-1999,04-Feb-2018,,,,,N,Newspapers,English,
Dawson Creek Daily News,,Postmedia Network Inc.,"Dawson Creek, B.C.",Canada,,,,N,,,,,,,,13-Oct-1999,31-Jan-2014,,,,,N,Newspapers,English,
Delhi News-Record,,Postmedia Network Inc.,Oakville,Canada,18-May-2011,23-Jul-2020,,N,18-May-2011,23-Jul-2020,,,,,,18-May-2011,23-Jul-2020,,,,,N,Newspapers,English,
Delhi News-Record (Online),,Postmedia Network Inc.,Oakville,Canada,14-May-2015,28-Jul-2020,01-Jan-2016--31-Dec-2016; 01-Jan-2019--31-Dec-2019,N,14-May-2015,28-Jul-2020,01-Jan-2016--31-Dec-2016; 01-Jan-2019--31-Dec-2019,,,,,14-May-2015,28-Jul-2020,01-Jan-2016--31-Dec-2016; 01-Jan-2019--31-Dec-2019,,,,N,"Blogs, Podcasts, & Websites",English,
Delta Optimist,,Postmedia Network Inc.,"Delta, B.C.",Canada,24-Apr-2002,Current,,N,24-Apr-2002,Current,,,,,1,24-Apr-2002,Current,,,,,N,Newspapers,English,
Devon Dispatch News,,Postmedia Network Inc.,Devon,Canada,01-May-2015,Current,,N,01-May-2015,Current,,,,,1,01-May-2015,Current,,,,,N,Newspapers,English,
District Weekender,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Bracebridge, Ont.",Canada,14-Oct-2011,13-Jun-2013,,N,14-Oct-2011,13-Jun-2013,,,,,,14-Oct-2011,13-Jun-2013,,,,,N,Newspapers,English,
Drayton Valley Western Review,,Postmedia Network Inc.,Drayton Valley,Canada,21-Apr-2015,21-Feb-2023,,N,21-Apr-2015,21-Feb-2023,,,,,,21-Apr-2015,21-Feb-2023,,,,,N,Newspapers,English,
Drayton Valley Western Review (Online),,Postmedia Network Inc.,Drayton Valley,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 08-Apr-2021--14-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 08-Apr-2021--14-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 08-Apr-2021--14-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Drumheller Mail,,Alberta Weekly Newspapers Association,Drumheller,Canada,19-Jun-2013,22-Jun-2016,,N,19-Jun-2013,22-Jun-2016,,,,,,19-Jun-2013,22-Jun-2016,,,,,N,Newspapers,English,
Dundas Star News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Dundas, Ont.",Canada,15-Sep-1999,01-Apr-2024,,N,15-Sep-1999,01-Apr-2024,,,,,,15-Sep-1999,01-Apr-2024,,,,,N,Newspapers,English,
Dunnville Chronicle,,Postmedia Network Inc.,"Dunnville, Ont.",Canada,05-Jun-2002,31-May-2006,,N,05-Jun-2002,31-May-2006,,,,,,05-Jun-2002,31-May-2006,,,,,N,Newspapers,English,
DurhamRegion.com,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Oshawa,Canada,23-Aug-2023,Current,,N,23-Aug-2023,Current,,,,,,22-Aug-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Eagle Valley News,,Black Press Group Ltd.,"Sicamous, B.C.",Canada,01-Aug-2004,04-Apr-2022,,N,01-Aug-2004,04-Apr-2022,,,,,,01-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Eagle Valley News (Online),,Black Press Group Ltd.,Sicamous,Canada,14-Mar-2023,Current,,N,14-Mar-2023,Current,,,,,,14-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
East Central Alberta Review,,Postmedia Network Inc.,"Coronation, Alta.",Canada,26-Mar-2009,Current,,N,26-Mar-2009,Current,,,,,1,26-Mar-2009,Current,,,,,N,Newspapers,English,
East Gwillimbury Express,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Kawartha Lakes,Canada,02-Nov-2023,Current,,N,02-Nov-2023,Current,,,,,,20-Oct-2021,Current,,,,,N,Newspapers,English,
East Kootenay eXtra,,Black Press Group Ltd.,East Kootenay,Canada,13-Jan-2022,Current,,N,13-Jan-2022,Current,,,,,,13-Jan-2022,Current,,,,,N,Newspapers,English,
The East York Mirror,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","East York, Ont.",Canada,02-May-2003,01-Dec-2023,,N,02-May-2003,01-Dec-2023,,,,,,02-May-2003,01-Dec-2023,,,,,N,Newspapers,English,
Eckville Echo,,Postmedia Network Inc.,"Sylvan Lake, Alta.",Canada,03-Apr-2009,26-Mar-2020,,N,03-Apr-2009,26-Mar-2020,,,,,,03-Apr-2009,26-Mar-2020,,,,,N,Newspapers,English,
Eckville Echo (Online),,Black Press Group Ltd.,Sylvan Lake,Canada,01-Aug-2023,Current,,N,01-Aug-2023,Current,,,,,,01-Aug-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Edmonton Examiner,,Postmedia Network Inc.,Edmonton,Canada,25-Apr-2007,30-Apr-2020,,N,25-Apr-2007,30-Apr-2020,,,,,,25-Apr-2007,30-Apr-2020,,,,,N,Newspapers,English,
Edmonton Examiner (Online),,Postmedia Network Inc.,Edmonton,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--21-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--21-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--21-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Edmonton Journal,,Postmedia Network Inc.,"Edmonton, Alta.",Canada,10-Mar-1989,Current,,N,10-Mar-1989,Current,,,,,1,10-Mar-1989,Current,,,,,N,Newspapers,English,
Edmonton Journal (Online),,Postmedia Network Inc.,Edmonton,Canada,30-Nov-2017,Current,,N,30-Nov-2017,Current,,,,,1,30-Nov-2017,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Edmonton Sun (Online),,Postmedia Network Inc.,Edmonton,Canada,14-May-2015,Current,,N,14-May-2015,Current,,,,,1,14-May-2015,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Edmonton Sun,,Postmedia Network Inc.,Edmonton,Canada,23-Apr-2007,Current,,N,23-Apr-2007,Current,,,,,1,23-Apr-2007,Current,,,,,N,Newspapers,English,
Edson Leader,,Postmedia Network Inc.,Edson,Canada,23-May-2011,13-Jan-2020,,N,23-May-2011,13-Jan-2020,,,,,,23-May-2011,13-Jan-2020,,,,,N,Newspapers,English,
Edson Leader (Online),,Postmedia Network Inc.,Edson,Canada,14-May-2015,01-Aug-2018,,N,14-May-2015,01-Aug-2018,,,,,,14-May-2015,01-Aug-2018,,,,,N,"Blogs, Podcasts, & Websites",English,
Enquête,,Canadian Broadcasting Corporation,Montreal,Canada,26-Sep-2013,Current,01-Jan-2017--31-Dec-2021,N,26-Sep-2013,Current,01-Jan-2017--31-Dec-2021,,,,,26-Sep-2013,Current,01-Jan-2017--31-Dec-2021,,,,N,Other Sources,French,
Enterprise - Bulletin,,Postmedia Network Inc.,"Collingwood, Ont.",Canada,25-Feb-2000,31-May-2006,,N,25-Feb-2000,31-May-2006,,,,,,25-Feb-2000,31-May-2006,,,,,N,Newspapers,English,
The Enterprise-Bulletin (Online),,Postmedia Network Inc.,Collingwood,Canada,15-May-2015,07-Jun-2018,,N,15-May-2015,07-Jun-2018,,,,,,15-May-2015,07-Jun-2018,,,,,N,"Blogs, Podcasts, & Websites",English,
Equity,,Canada Wide Magazines,Vancouver,Canada,,,,N,,,,,,,,01-Sep-1988,01-Jun-1996,,,,,N,Trade Journals,English,
Era - Banner,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Newmarket, Ont.",Canada,10-Feb-2003,Current,,N,10-Feb-2003,Current,,,,,,10-Feb-2003,Current,,,,,N,Newspapers,English,
Etobicoke Guardian,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Etobicoke, Ont.",Canada,27-Apr-2003,Current,01-Jan-2024--31-Dec-2024,N,27-Apr-2003,Current,01-Jan-2024--31-Dec-2024,,,,,27-Apr-2003,Current,01-Jan-2024--31-Dec-2024,,,,N,Newspapers,English,
L'Etoile Cataracte,,Postmedia Network Inc.,"Grand Falls, N.B.",Canada,25-Apr-2008,21-Jan-2015,,N,25-Apr-2008,21-Jan-2015,,,,,,25-Apr-2008,21-Jan-2015,,,,,N,Newspapers,French,
L'Etoile Chaleur,,Postmedia Network Inc.,"Bathurst, N.B.",Canada,04-Jul-2008,23-Jan-2020,,N,04-Jul-2008,23-Jan-2020,,,,,,04-Jul-2008,23-Jan-2020,,,,,N,Newspapers,,
L'Étoile Kent,,Postmedia Network Inc.,"Richibucto, N.B.",Canada,26-Apr-2008,23-Jan-2020,,N,26-Apr-2008,23-Jan-2020,,,,,,26-Apr-2008,23-Jan-2020,,,,,N,Newspapers,French,
L'Étoile Shediac,,Postmedia Network Inc.,"Richibucto, N.B.",Canada,26-Apr-2008,16-Apr-2015,,N,26-Apr-2008,16-Apr-2015,,,,,,26-Apr-2008,16-Apr-2015,,,,,N,Newspapers,French,
Evening Guide,,Postmedia Network Inc.,"Port Hope, Ont.",Canada,27-Mar-2000,31-May-2006,,N,27-Mar-2000,31-May-2006,,,,,,27-Mar-2000,31-May-2006,,,,,N,Newspapers,English,
Evening News,,Postmedia Network Inc.,"New Glasgow, N.S.",Canada,,,,N,,,,,,,,12-Apr-1999,27-Apr-2007,,,,,N,Newspapers,English,
Examiner,,Postmedia Network Inc.,"Barrie, Ont.",Canada,08-Feb-2000,31-May-2006,,N,08-Feb-2000,31-May-2006,,,,,,08-Feb-2000,31-May-2006,,,,,N,Newspapers,English,
The Examiner (Online),,Postmedia Network Inc.,Barrie,Canada,15-May-2015,07-Jun-2018,,N,15-May-2015,07-Jun-2018,,,,,,15-May-2015,16-Jul-2018,,,,,N,"Blogs, Podcasts, & Websites",English,
Expositor,,Postmedia Network Inc.,"Brantford, Ont.",Canada,02-Jan-1999,Current,,N,02-Jan-1999,Current,,,,,1,02-Jan-1999,Current,,,,,N,Newspapers,English,
The Expositor (Online),,Postmedia Network Inc.,Brantford,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 19-Apr-2021--28-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 19-Apr-2021--28-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 19-Apr-2021--28-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
La Facture,,Canadian Broadcasting Corporation,Toronto,Canada,08-Sep-2009,Current,,N,08-Sep-2009,Current,,,,,,08-Sep-2009,Current,,,,,N,Other Sources,French,
Fairview Post,,Postmedia Network Inc.,Fairview,Canada,18-May-2011,23-Aug-2023,,N,18-May-2011,23-Aug-2023,,,,,,18-May-2011,23-Aug-2023,,,,,N,Newspapers,English,
Fairview Post (Online),,Postmedia Network Inc.,Fairview,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--06-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--06-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--06-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Farm 'n' Friends,,Alberta Weekly Newspapers Association,Lamont,Canada,21-Jun-2013,24-Jun-2016,,N,21-Jun-2013,24-Jun-2016,,,,,,21-Jun-2013,24-Jun-2016,,,,,N,Newspapers,English,
Fever,,Postmedia Network Inc.,"Wabasca, Alta.",Canada,02-Apr-2009,Current,,N,02-Apr-2009,Current,,,,,1,02-Apr-2009,Current,,,,,N,Newspapers,English,
Financial Post,,The Financial Times Limited,"Toronto, Ont.",United Kingdom,,,,N,,,,,,,,05-Jan-1985,24-Oct-1998,,,,,N,Newspapers,English,
The Fitzhugh,,Alberta Weekly Newspapers Association,Jasper,Canada,20-Jun-2013,22-Jun-2016,,N,20-Jun-2013,22-Jun-2016,,,,,,20-Jun-2013,22-Jun-2016,,,,,N,Newspapers,English,
Flamborough Review,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Waterdown, Ont.",Canada,05-Jan-2000,Current,15-Jan-2010--09-Feb-2012,N,05-Jan-2000,Current,15-Jan-2010--09-Feb-2012,,,,,05-Jan-2000,Current,15-Jan-2010--09-Feb-2012,,,,N,Newspapers,English,
Focus,,Postmedia Network Inc.,Strathroy,Canada,10-Dec-2015,20-Dec-2018,,N,10-Dec-2015,20-Dec-2018,,,,,,10-Dec-2015,20-Dec-2018,,,,,N,Newspapers,English,
Focus,,Postmedia Network Inc.,Goderich,Canada,10-Dec-2015,Current,,N,10-Dec-2015,Current,,,,,1,10-Dec-2015,Current,,,,,N,Newspapers,English,
The Forester,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Huntsville, Ont.",Canada,10-Feb-2010,Current,,N,10-Feb-2010,Current,,,,,,10-Feb-2010,Current,,,,,N,Newspapers,English,
Fort Erie Post,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Thorold, Ont.",Canada,12-Sep-2013,Current,,N,12-Sep-2013,Current,,,,,,12-Sep-2013,Current,01-Jan-2017--31-Dec-2017,,,,N,Newspapers,English,
Fort McMurray Today,,Postmedia Network Inc.,Fort McMurray,Canada,20-Apr-2007,23-Feb-2023,,N,20-Apr-2007,23-Feb-2023,,,,,,20-Apr-2007,23-Feb-2023,,,,,N,Newspapers,English,
Fort McMurray Today (Online),,Postmedia Network Inc.,Fort McMurray,Canada,14-May-2015,Current,18-Apr-2021--23-Mar-2022,N,14-May-2015,Current,18-Apr-2021--23-Mar-2022,,,,1,14-May-2015,Current,18-Apr-2021--23-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Fort Saskatchewan Record,,Postmedia Network Inc.,Fort Saskatchewan,Canada,20-Apr-2007,Current,,N,20-Apr-2007,Current,,,,,1,20-Apr-2007,Current,,,,,N,Newspapers,English,
Fort Saskatchewan Record (Online),,Postmedia Network Inc.,Fort Saskatchewan,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 15-Apr-2021--23-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 15-Apr-2021--23-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 15-Apr-2021--23-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Fox Creek Times,,Alberta Weekly Newspapers Association,"Fox Creek, Alta.",Canada,01-Apr-2009,01-Dec-2015,,N,01-Apr-2009,01-Dec-2015,,,,,,01-Apr-2009,01-Dec-2015,,,,,N,Newspapers,English,
Free Press,,Postmedia Network Inc.,"Midland, Ont.",Canada,29-Feb-2000,24-May-2006,,N,29-Feb-2000,24-May-2006,,,,,,29-Feb-2000,24-May-2006,,,,,N,Newspapers,English,
The Free Press (Online),,Black Press Group Ltd.,Fernie,Canada,06-Nov-2021,Current,,N,06-Nov-2021,Current,,,,,,06-Nov-2021,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Free Press,,Alberta Weekly Newspapers Association,Morinville,Canada,18-Jun-2013,28-Jun-2016,,N,18-Jun-2013,28-Jun-2016,,,,,,18-Jun-2013,28-Jun-2016,,,,,N,Newspapers,English,
Front Burner,,Canadian Broadcasting Corporation,Toronto,Canada,01-Mar-2023,Current,,N,01-Mar-2023,Current,,,,,,01-Mar-2023,Current,,,,,N,Other Sources,English,
The Frontenac Gazette EMC,,Postmedia Network Inc.,"Kingston, Ont.",Canada,02-Apr-2009,22-Nov-2017,,N,02-Apr-2009,22-Nov-2017,,,,,,02-Apr-2009,22-Nov-2017,,,,,N,Newspapers,English,
The Gananoque Reporter (Online),,Postmedia Network Inc.,Gananoque,Canada,14-May-2015,Current,15-Apr-2021--04-Apr-2022,N,14-May-2015,Current,15-Apr-2021--04-Apr-2022,,,,1,14-May-2015,Current,15-Apr-2021--04-Apr-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Gananoque Reporter,,Postmedia Network Inc.,Gananoque,Canada,30-Apr-2015,Current,,N,30-Apr-2015,Current,,,,,1,30-Apr-2015,Current,,,,,N,Newspapers,English,
The Georgina Advocate,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Keswick, Ont.",Canada,25-Apr-2007,Current,,N,25-Apr-2007,Current,,,,,,25-Apr-2007,Current,,,,,N,Newspapers,English,
The Globe and Mail (Online),,The Globe and Mail,Toronto,Canada,01-Jan-2000,Current,,N,01-Jan-2000,Current,,,,,,01-Jan-2000,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Globe and Mail,,The Globe and Mail,"Toronto, Ont.",Canada,14-Nov-1977,Current,,N,14-Nov-1977,Current,,,,,,14-Nov-1977,Current,,,,,N,Newspapers,English,
Goderich Signal Star,,Postmedia Network Inc.,Goderich,Canada,29-Apr-2015,Current,,N,29-Apr-2015,Current,,,,,1,29-Apr-2015,Current,,,,,N,Newspapers,English,
Goderich Signal Star (Online),,Postmedia Network Inc.,Goderich,Canada,15-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--08-Mar-2022,N,15-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--08-Mar-2022,,,,1,15-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--08-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Golden Star (Online),,Black Press Group Ltd.,Golden,Canada,08-Feb-2023,Current,,N,08-Feb-2023,Current,,,,,,08-Feb-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
